item_id,rarity,name (en),Item type (en)
2021,1,Gobball Amulet,Amulet
2022,1,Bouze Lite Yeah's Ring,Ring
2023,1,Gobboots,Boots
2024,2,Gobball Cape,Cloak
2025,1,Gobball Belt,Belt
2026,2,Gobball Headgear,Helmet
2027,1,Gobbhammer,Hammer
2035,1,Tofu Amulet,Amulet
2036,1,Tofu Ring,Ring
2037,2,Tofu Sword,Sword
2038,2,Tofu Cloak,Cloak
2039,1,Tofu Belt,Belt
2040,2,Helmetofu,Helmet
2041,1,Tofu Boots,Boots
2044,1,Twiggy Epaulettes,Epaulettes
2057,2,Gobbshield,Shield
2058,2,Gobblette Wand,Wand
2089,1,Tofu Epaulettes,Epaulettes
2090,2,Tofu Shield,Shield
2198,1,Little Tofu Hand,Hand
2214,2,Royal Piwi Hat,Helmet
2292,1,Scythe,Tools
2293,1,Pick,Tools
2294,2,Red Piwat,Helmet
2296,3,Purple Piwat,Helmet
2297,2,Green Piwat,Helmet
2298,2,Red Capiwin,Cloak
2300,3,Purple Capiwin,Cloak
2301,2,Green Capiwin,Cloak
2306,2,Red Piwi Belt,Belt
2308,3,Purple Piwi Belt,Belt
2309,2,Green Piwi Belt,Belt
2310,2,Red Piwi Claw Slippers,Boots
2312,3,Purple Piwi Claw Slippers,Boots
2313,2,Green Piwi Claw Slippers,Boots
2385,3,Popourri Hat,Helmet
2395,3,The Maimpa,Cloak
2408,1,Wooden Hatchet,Tools
2643,3,Exeter Rats,Epaulettes
2673,2,Twiggy Club,Two-handed Staff
2676,2,Mad Hammer,Hammer
2869,4,Perryclees Sword,Two-handed Sword
2960,2,Smoothitch O'Bal,Amulet
2986,2,The Gougnole,Amulet
2990,1,Twiggy Amulet,Amulet
3018,2,Shrink Ring,Ring
3026,2,Agilish Ring,Ring
3599,2,War Chief Axe,Axe
3601,2,Hidsad Bow,Bow
3608,2,Cape Huccino,Cloak
3812,2,Gobbcards,Cards
3833,2,Loyalty Cards,Cards
3849,3,Lass Sword,Sword
3924,2,Nickelbow,Bow
3941,2,Twiggy Cards,Cards
3959,2,Shepherd's Staff,One-handed Staff
3976,2,Inn Shield,Shield
4141,3,Authentic Bowisse Boots,Boots
4192,3,The Bumper,Shield
4207,3,Capeoeira,Cloak
4218,2,Daudgee,Helmet
4220,2,Mine Helmet,Helmet
4224,3,The Jouik Krampe,Helmet
4226,1,Twiggy Belt,Belt
4240,3,Swocks,Epaulettes
4280,2,Fisherman's Waders,Boots
4527,1,Twiggy Boots,Boots
4528,3,Straw Hat,Helmet
4615,2,Raysting Hand,Hand
4988,2,Thettle Ring,Ring
5197,2,Swiffer Wand,Wand
5309,1,Gobball Breastplate,Breastplate
5310,1,Gobball Epaulettes,Epaulettes
5311,1,Tofu Breastplate,Breastplate
5491,3,Kamailles' Coat,Breastplate
5580,3,Conquered Raziel,Sword
5666,2,King of Borins' Bow,Bow
5899,2,Truffle Shovel,Shovel
5945,2,Starry Shield,Shield
5963,3,Desire O'Ball Cloak,Cloak
5971,2,Boowolf String,Belt
5993,3,Sangroku's Belt,Belt
6121,2,Gobbsword,Sword
6556,3,A La Cards,Cards
6570,2,Tofu Staff,One-handed Staff
6571,2,Tofu Wand,Wand
6572,2,Tofu Shovel,Shovel
6581,1,Bloo Boots,Boots
6582,1,The Beeeelt,Belt
6583,2,The Gap,Cloak
6584,1,The Masked Sombrero,Helmet
6585,1,Vestorn,Breastplate
6586,1,The Blinder,Epaulettes
6739,2,The Country,Ring
6791,1,Twiggy Headband,Helmet
7030,2,Piwi Dagger,Dagger
7034,1,Piwi Axe,Axe
7041,2,Piwi Wand,Wand
7048,3,Piwi Hammer,Hammer
7055,2,Piwi Sword,Sword
7056,2,Piwi Hand,Hand
7573,3,Pandawan Kimono,Breastplate
7574,3,Pandawan Hat,Helmet
7576,3,Pandawan Belt,Belt
8051,1,Cutlass,Tools
8052,1,Billhook,Tools
8077,1,Fishing Rod,Tools
8089,1,The Fire of Love,Torches
8247,3,Black Crow's Boots,Boots
8248,3,Black Crow's Ring,Ring
8249,3,Black Crow's Cloak,Cloak
8257,2,Croboots,Boots
8258,3,Crobak Breastplate,Breastplate
8259,2,Crobelt,Belt
8264,2,Wooden Fishing Rod,Tools
8265,2,Coonan Cutlass,Tools
8266,2,Broocefore Scythe,Tools
8267,2,Lumberjack Hatchet,Tools
8268,2,Goldigger's Pick,Tools
8269,2,Esk Billhook,Tools
8379,2,Beltrool,Belt
8381,2,Trool Scalp,Helmet
8382,2,Trool Boots,Boots
8385,2,Boowolf Breastplate,Breastplate
9242,3,Royal Piwi Amulet,Amulet
9243,2,Poke Cards,Cards
9252,2,Royal Gobbsword,Sword
9253,2,Royal Gobbhammer,Hammer
9254,3,Royal Gobbshield,Shield
9257,2,Royal Gobball Amulet,Amulet
9274,2,Kawfy Wand,Wand
